"grp"	"endpt1"	"endpt2"	"status"
"PBS/Tg 197"	143.535	143.535	1
"PBS/Tg 197"	108.51	108.51	1
"PBS/Tg 197"	124.575	124.575	1
"PBS/Tg 197"	91.6	91.6	1
"PBS/Tg 197"	161.575	161.575	1
"PBS/Tg 197"	82.5	82.5	2
"PBS/Tg 197"	82.5	82.5	2
"PBS/Tg 197"	106.4	106.4	1
"1mg/kg/Tg 197"	116.515	116.515	1
"1mg/kg/Tg 197"	207.785	207.785	1
"1mg/kg/Tg 197"	109.94	109.94	1
"1mg/kg/Tg 197"	168.595	168.595	1
"1mg/kg/Tg 197"	166.99	166.99	1
"1mg/kg/Tg 197"	82.5	82.5	2
"1mg/kg/Tg 197"	135.34	135.34	1
"1mg/kg/Tg 197"	82.5	82.5	2
"3mg/kg/Tg 197"	82.5	82.5	2
"3mg/kg/Tg 197"	82.5	82.5	2
"3mg/kg/Tg 197"	102.525	102.525	1
"3mg/kg/Tg 197"	82.5	82.5	2
"3mg/kg/Tg 197"	82.5	82.5	2
"3mg/kg/Tg 197"	82.5	82.5	2
"3mg/kg/Tg 197"	82.5	82.5	2
"3mg/kg/Tg 197"	82.5	82.5	2
"10 mg/kg/Tg 197"	97.31	97.31	1
"10 mg/kg/Tg 197"	82.5	82.5	2
"10 mg/kg/Tg 197"	82.5	82.5	2
"10 mg/kg/Tg 197"	82.5	82.5	2
"10 mg/kg/Tg 197"	82.5	82.5	2
"10 mg/kg/Tg 197"	82.5	82.5	2
"10 mg/kg/Tg 197"	82.5	82.5	2
"30 mg/kg/Tg 197"	74.94	74.94	2
"30 mg/kg/Tg 197"	75.53	75.53	1
"30 mg/kg/Tg 197"	88.94	88.94	1
"30 mg/kg/Tg 197"	74.94	74.94	2
"30 mg/kg/Tg 197"	102.805	102.805	1
"30 mg/kg/Tg 197"	95.71	95.71	1
"30 mg/kg/Tg 197"	80.91	80.91	1
"30 mg/kg/Tg 197"	74.94	74.94	2
"PBS/WT"	74.94	74.94	2
"PBS/WT"	76.68	76.68	1
"PBS/WT"	78.86	78.86	1
"PBS/WT"	99.63	99.63	1
"PBS/WT"	74.94	74.94	2
"PBS/WT"	77.8	77.8	1
